손님 ID,손님 이름,손님 유형,이미지 경로,선호 메뉴 레시피1 ID,선호 메뉴2 레시피 ID,선호 메뉴3 레시피 ID,선호 메뉴4 레시피 ID,선호 메뉴5 레시피 ID,선호 메뉴6 레시피 ID,선호 메뉴7 레시피 ID,선호 메뉴8 레시피 ID,선호 메뉴9 레시피 ID,선호 메뉴10 레시피 ID
int,string,string,string,int,int,int,int,int,int,int,int,int,int
customer_id,customer_name,customer_type,spritePath,like_menu1,like_menu2,like_menu2,like_menu4,like_menu5,like_menu6,like_menu7,like_menu8,like_menu9,like_menu10
1001,Lulu,Normal,,2001,2002,2004,2005,2006,2007,null,null,null,null
1002,Toto,Normal,,2001,2002,2004,2005,2006,2007,null,null,null,null
1003,Bambi,Normal,,2001,2002,2004,2005,2006,2007,null,null,null,null
1004,Leo,Unique,,2001,2002,2003,2004,2005,2006,2007,2008,2009,null
1005,Momo,Unique,,2001,2002,2003,2004,2005,2006,2007,2008,2010,null
1006,Kiki,Unique,,2001,2002,2003,2004,2005,2006,2007,2008,2011,null
1007,Uni,Special,,2004,2009,2013,null,null,null,null,null,null,null
1008,Milo,Special,,2005,2010,2013,null,null,null,null,null,null,null
1009,Ollie,Special,,2006,2011,2013,null,null,null,null,null,null,null
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,4,5,,,,,
