대사 ID,대사 그룹,순서,좌측 스피커 ID,중앙 스피커 ID,우측 스피커 ID,"스피커 체크(0,1,2)",대사 스트링 ID,배경 이미지 경로,배경음 사운드 ID,효과음 사운드 ID,,,,
int,int,int,Enum,Enum,Enum,int,StringSO,string,string,string,,,,
dialog_id,dialog_group,order,left_speaker,center_speaker,right_speaker,left_speaker_check,dialog_string_id,sprite_path,bgm_sound_id,sfx_sound_id,,,,
6001,1,10,,,,,string_prologue_narration_6001,,,,,,,
6002,1,20,,,,,string_prologue_narration_6002,,,,,,,
6003,1,30,,speaker_meow,,1,string_prologue_meow_6001,,,,,,,
6004,1,40,,speaker_meow,,1,string_prologue_meow_6002,,,,,,,
6005,1,50,speaker_meow,,speaker_Fifi,2,string_prologue_Fifi_6001,,,,,,,
6006,1,60,speaker_meow,,speaker_Fifi,2,string_prologue_Fifi_6002,,,,,,,
6007,1,70,speaker_meow,,speaker_Fifi,0,string_prologue_meow_6003,,,,,,,
6008,1,80,speaker_meow,,speaker_Fifi,2,string_prologue_Fifi_6003,,,,,,,
6009,1,90,speaker_meow,,speaker_Fifi,0,string_prologue_meow_6004,,,,,,,
6010,1,100,speaker_meow,,speaker_Fifi,2,string_prologue_Fifi_6004,,,,,,,
6011,2,110,speaker_meow,,speaker_Fifi,2,string_ch00_Fifi_6001,,,,스테이지 1 클리어 직후 출력,,,
6012,2,120,speaker_meow,,speaker_Fifi,0,string_ch00_meow_6001,,,,,,,
6013,2,130,speaker_Lulu,,speaker_Toto,0,string_ch00_Lulu_6001,,,,,,,
6014,2,140,speaker_Lulu,,speaker_Toto,2,string_ch00_Toto_6001,,,,,,,
6015,2,150,speaker_Bambi,,speaker_Leo,0,string_ch00_Bambi_6001,,,,,,,한 줄에 하나의 스트링 id. ui크기에 맞춰 스트링(대사 한 줄)을 짜야함.
6016,2,160,speaker_Bambi,,speaker_Leo,2,string_ch00_Leo_6001,,,,,,,중앙 스피커 ID는 단독으로 사용해야 함.
6017,3,170,speaker_Lulu,,speaker_Toto,0,string_ch00_Lulu_6002,,,,스테이지 2 클리어 직후 출력,,,"공백일 경우, 이전의 상태를 유지한다."
6018,3,180,speaker_Lulu,,speaker_Toto,2,string_ch00_Toto_6002,,,,,,,"대사 그룹이 끝날 경우, 상태를 되돌린다. (사운드, 이미지 등)"
6019,3,190,speaker_Bambi,,speaker_Leo,0,string_ch00_Bambi_6002,,,,,,,순서는 10단위
6020,3,200,speaker_Bambi,,speaker_Leo,2,string_ch00_Leo_6002,,,,,,,"배경음은 배경음끼리, 효과음은 효과음끼리 중복 안되게"
6021,3,210,speaker_meow,,speaker_Fifi,2,string_ch00_Fifi_6002,,,,,,,
6022,3,220,speaker_meow,,speaker_Fifi,0,string_ch00_meow_6002,,,,,,,
6023,3,230,speaker_meow,,speaker_Fifi,2,string_ch00_Fifi_6003,,,,가구 배치 가이드로 연결,,,
6024,4,240,speaker_meow,,speaker_Fifi,0,string_ch00_meow_6003,,,,가구 배치 직후 출력,,,
