재료 ID,재료 이름,재료 이미지 경로
int,string,string
ingredient_id,ingredient_name,spritePath
2501,라벤더 도넛,Assets/Imports/Image/Donut/Donut_Lavender.png
2502,초코 도넛,Assets/Imports/Image/Donut/Donut_Chocolate.png
2503,블루베리 도넛,Assets/Imports/Image/Donut/Donut_Blueberry.png
2504,치즈 도넛,Assets/Imports/Image/Donut/Donut_Cheese.png
2505,딸기 도넛,Assets/Imports/Image/Donut/Donut_Strawberry.png
2506,슈가 도넛,Assets/Imports/Image/Donut/Donut_Sugar.png
2507,초콜릿 시럽,Assets/Imports/Image/Obstacle/Syrup.png
2508,계란,Assets/Imports/Image/Obstacle/Egg.png
