번호,필요 별 갯수,조건 필요 여부,설명,이미지,비고
1,3,0,mission_Bakery_1,,해당 위치 밝게 바꾸기
2,2,1,mission_Bakery_2,,
3,3,1,mission_Bakery_3,,
4,3,1,mission_Bakery_4,,
5,1,4,mission_Bakery_5,,
6,3,3,mission_Bakery_6,,
7,2,5,mission_Bakery_7,,
8,1,7,mission_Bakery_8,,
9,2,8,mission_Bakery_9,,
10,3,9,mission_Bakery_10,,
11,2,4,mission_Bakery_11,,
12,1,5,mission_Bakery_12,,
13,3,6,mission_Bakery_13,,
14,3,13,mission_Bakery_14,,
15,2,3,mission_Bakery_15,,
16,1,15,mission_Bakery_16,,
17,2,16,mission_Bakery_17,,
18,1,11,mission_Bakery_18,,
19,2,6,mission_Bakery_19,,
20,1,19,mission_Bakery_20,,
21,2,17,mission_Bakery_21,,
22,2,21,mission_Bakery_22,,
