번호,필요 별 갯수,조건 필요 여부,설명,이미지,비고
1,1,0,mission_Bar_1,,해당 위치 밝게 바꾸기
2,3,1,mission_Bar_2,,
3,2,2,mission_Bar_3,,2개씩
4,1,3,mission_Bar_4,,
5,1,1,mission_Bar_5,,
6,2,5,mission_Bar_6,,
7,2,6,mission_Bar_7,,큰 맥주잔 전부 다
8,1,7,mission_Bar_8,,
9,2,2,mission_Bar_9,,
10,1,2,mission_Bar_10,,
11,1,1,mission_Bar_11,,
12,1,10,mission_Bar_12,,
13,1,12,mission_Bar_13,,그 외
14,1,11,mission_Bar_14,,
15,1,4,mission_Bar_15,,
16,2,15,mission_Bar_16,,
17,2,14,mission_Bar_17,,
18,2,17,mission_Bar_18,,
19,1,18,mission_Bar_19,,
20,1,14,mission_Bar_20,,
21,1,제일 마지막,mission_Bar_21,,
