번호,필요 별 갯수,조건 필요 여부,설명,이미지,비고
1,3,0,mission_LuxuryCafe_1,,해당 위치 밝게 바꾸기
2,1,1,mission_LuxuryCafe_2,,
3,2,2,mission_LuxuryCafe_3,,
4,2,3,mission_LuxuryCafe_4,,
5,2,3,mission_LuxuryCafe_5,,
6,2,3,mission_LuxuryCafe_6,,
7,1,6,mission_LuxuryCafe_7,,
8,2,4,mission_LuxuryCafe_8,,
9,3,8,mission_LuxuryCafe_9,,
10,2,3,mission_LuxuryCafe_10,,
11,1,5,mission_LuxuryCafe_11,,
12,1,9,mission_LuxuryCafe_12,,
13,2,12,mission_LuxuryCafe_13,,
14,2,10,mission_LuxuryCafe_14,,
15,3,9,mission_LuxuryCafe_15,,
16,1,5,mission_LuxuryCafe_16,,
17,2,16,mission_LuxuryCafe_17,,
18,1,9,mission_LuxuryCafe_18,,
19,2,7,mission_LuxuryCafe_19,,
20,1,19,mission_LuxuryCafe_20,,
21,3,9,mission_LuxuryCafe_21,,
22,2,8,mission_LuxuryCafe_22,,
23,1,3,mission_LuxuryCafe_23,,
24,3,16,mission_LuxuryCafe_24,,
25,1,24,mission_LuxuryCafe_25,,
