번호,필요 별 갯수,조건 필요 여부,설명,이미지,비고
1,1,0,mission_dount_01,,
2,1,1,mission_dount_02,,안에 도넛빼고 진열장만 먼저 배치
3,2,0,mission_dount_03,,
4,1,3,mission_dount_04,,도넛 빼고 선반만 먼저 배치
5,1,2,mission_dount_05,, 위 도넛 빼고 쟁반만 먼저 설치
6,1,5,mission_dount_06,, 위 도넛 빼고 쟁반만 먼저 설치
7,2,2,mission_dount_07,,도넛까지 같이 배치
8,1,6,mission_dount_08,,
9,1,4,mission_dount_09,, 위 도넛 빼고 쟁반만 먼저 설치
10,1,9,mission_dount_10,,
11,2,3,mission_dount_11,,
12,1,1,mission_dount_12,,
13,1,0,mission_dount_13,,
14,2,0,mission_dount_14,,
15,2,0,mission_dount_15,,
16,3,0,mission_dount_16,,
