번호,필요 별 갯수,조건 필요 여부,설명,이미지,비고
1,5,0,mission_Fruit_1,,해당 위치 밝게 바꾸기
2,5,1,mission_Fruit_2,,
3,4,1,mission_Fruit_3,,
4,2,1,mission_Fruit_4,,
5,2,4,mission_Fruit_5,,
6,1,5,mission_Fruit_6,,
7,2,3,mission_Fruit_7,,수레만
8,3,3,mission_Fruit_8,,
9,3,8,mission_Fruit_9,,
10,2,9,mission_Fruit_10,,
11,3,10,mission_Fruit_11,,"가지, 비트, 토마토"
12,3,11,mission_Fruit_12,,"배, 호박"
13,2,12,mission_Fruit_13,,"당근, 옥수수, 피망, 사과(?)"
14,3,2,mission_Fruit_14,,
15,3,2,mission_Fruit_15,,
16,3,15,mission_Fruit_16,,
17,2,13,mission_Fruit_17,,
18,3,13,mission_Fruit_18,,
19,2,18,mission_Fruit_19,,
20,3,19,mission_Fruit_20,,
