번호,필요 별 갯수,조건 필요 여부,설명,이미지,비고
1,3,0,mission_Ice_1,,해당 위치 밝게 바꾸기
2,1,1,mission_Ice_2,,
3,2,1,mission_Ice_3,,
4,2,3,mission_Ice_4,,
5,1,4,mission_Ice_5,,
6,1,5,mission_Ice_6,,
7,1,6,mission_Ice_7,,
8,2,3,mission_Ice_8,,
9,1,8,mission_Ice_9,,
10,2,5,mission_Ice_10,,
11,1,10,mission_Ice_11,,
12,1,11,mission_Ice_12,,
13,2,12,mission_Ice_13,,
14,1,9,mission_Ice_14,,
15,2,9,mission_Ice_15,,
16,2,7,mission_Ice_16,,
17,3,13,mission_Ice_17,,
18,1,4,mission_Ice_18,,
19,1,17,mission_Ice_19,,
20,1,16,mission_Ice_20,,
21,3,13,mission_Ice_21,,
22,2,21,mission_Ice_22,,
