번호,필요 별 갯수,조건 필요 여부,설명,이미지,비고
1,1,x,mission_mini_01,,해당 위치 밝게 바꾸기
2,1,1,mission_mini_02,,
3,2,1,mission_mini_03,,
4,1,3,mission_mini_04,,양쪽 다 설치
5,1,1,mission_mini_05,,
6,3,1,mission_mini_06,,
7,2,1,mission_mini_07,,커튼도 같이 설치
8,1,2,mission_mini_08,,
9,2,4,mission_mini_09,,
10,1,2,mission_mini_10,,
11,2,2,mission_mini_11,,
12,2,2,mission_mini_12,,
13,3,4,mission_mini_13,,"양 테이블 모두 설치
위에 있는 모든 것 다 배치"
14,1,6,mission_mini_14,,
15,1,2,mission_mini_15,,
16,2,7,mission_mini_16,,
17,2,16,mission_mini_17,,
