번호,필요 별 갯수,조건 필요 여부,설명,이미지,비고
1,3,0,mission_Pizza_1,,해당 위치 밝게 바꾸기
2,3,1,mission_Pizza_2,,
3,2,1,mission_Pizza_3,,
4,3,3,mission_Pizza_4,,
5,2,4,mission_Pizza_5,,
6,1,4,mission_Pizza_6,,
7,3,4,mission_Pizza_7,,
8,2,7,mission_Pizza_8,,
9,1,3,mission_Pizza_9,,
10,2,8,mission_Pizza_10,,
11,2,8,mission_Pizza_11,,
12,1,9,mission_Pizza_12,,
13,2,6,mission_Pizza_13,,
14,1,13,mission_Pizza_14,,
15,2,9,mission_Pizza_15,,
16,2,5,mission_Pizza_16,,
17,1,14,mission_Pizza_17,,
18,2,17,mission_Pizza_18,,
19,2,16,mission_Pizza_19,,
20,3,16,mission_Pizza_20,,
21,2,16,mission_Pizza_21,,
