퍼즐 보드 ID,배열 정보,스포너 위치,예비 배열
int,List,List,List
4001,-3:2:0:Lavender|-2:1:0:Lavender|0:2:0:Lavender|1:1:0:Lavender|2:0:0:Lavender|-1:0:0:Lavender|0:-1:0:Lavender|1:-2:0:Lavender|2:-3:0:Lavender|-3:-1:0:Lavender|-3:-2:0:Chocolate|-2:-2:0:Lavender|-1:-3:0:Lavender|-2:-3:0:Chocolate|-3:1:0:Chocolate|-2:2:0:Chocolate|0:0:0:Chocolate|-1:-1:0:Chocolate|1:-3:0:Chocolate|2:-2:0:Chocolate|1:2:0:Chocolate|2:2:0:Chocolate|-1:2:0:Blueberry|-1:1:0:Blueberry|0:1:0:Blueberry|2:1:0:Blueberry|2:-1:0:Blueberry|0:-3:0:Blueberry|0:-2:0:Blueberry|-3:-3:0:Blueberry|-3:0:0:Blueberry|-2:0:0:Cheese|1:0:0:Cheese|1:-1:0:Cheese|-1:-2:0:Cheese|-2:-1:0:Blueberry|,-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|,
4002,-3:2:0:Lavender|-2:1:0:Lavender|-3:-3:0:Lavender|-2:-2:0:Lavender|1:-2:0:Lavender|2:-3:0:Lavender|1:1:0:Lavender|2:2:0:Lavender|0:2:0:Cheese|-1:1:0:Cheese|-2:0:0:Cheese|-3:-1:0:Cheese|-1:-3:0:Cheese|0:-2:0:Cheese|1:-1:0:Cheese|2:0:0:Cheese|-1:-1:0:Cheese|0:0:0:Cheese|-2:-1:0:Chocolate|-1:0:0:Chocolate|0:1:0:Chocolate|1:0:0:Chocolate|0:-1:0:Chocolate|-1:-2:0:Chocolate|-3:-2:0:Blueberry|-2:-3:0:Blueberry|1:2:0:Blueberry|2:1:0:Blueberry|0:-3:0:Blueberry|1:-3:0:Blueberry|2:-1:0:Blueberry|2:-2:0:Blueberry|-3:1:0:Blueberry|-3:0:0:Blueberry|-2:2:0:Blueberry|-1:2:0:Blueberry|,-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|,
4003,-3:2:0:Blueberry|-3:0:0:Blueberry|-3:-1:0:Chocolate|-3:1:0:Chocolate|-3:-3:0:Blueberry|0:-3:0:Blueberry|2:-3:0:Blueberry|2:-1:0:Blueberry|2:2:0:Blueberry|-1:2:0:Blueberry|-2:2:0:Chocolate|-1:-1:0:Chocolate|0:0:0:Chocolate|2:0:0:Chocolate|2:-2:0:Chocolate|1:-3:0:Chocolate|0:2:0:Chocolate|-1:-3:0:Chocolate|-2:1:0:Cheese|-2:0:0:Cheese|-1:1:0:Cheese|1:2:0:Cheese|1:1:0:Cheese|2:1:0:Cheese|1:-1:0:Cheese|1:-2:0:Cheese|0:-2:0:Cheese|-3:-2:0:Cheese|-2:-2:0:Cheese|-2:-3:0:Cheese|-2:-1:0:Lavender|-1:-2:0:Lavender|-1:0:0:Lavender|0:-1:0:Lavender|0:1:0:Lavender|1:0:0:Lavender|,-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|,
4004,-2:2:0:Lavender|-3:2:0:Lavender|1:2:0:Lavender|2:2:0:Lavender|-3:-2:0:Lavender|-2:-2:0:Lavender|-1:-1:0:Lavender|0:-1:0:Lavender|1:-2:0:Lavender|2:-2:0:Lavender|-3:-3:0:Chocolate|-2:-3:0:Chocolate|1:-3:0:Chocolate|2:-3:0:Chocolate|-3:1:0:Chocolate|-2:1:0:Chocolate|-1:0:0:Chocolate|0:0:0:Chocolate|1:1:0:Chocolate|2:1:0:Chocolate|-1:1:0:Blueberry|0:1:0:Blueberry|-3:-1:0:Blueberry|-2:-1:0:Blueberry|1:-1:0:Blueberry|2:-1:0:Blueberry|-1:-3:0:Blueberry|0:-3:0:Blueberry|-1:2:0:Cheese|0:2:0:Cheese|-3:0:0:Cheese|-2:0:0:Cheese|-1:-2:0:Cheese|0:-2:0:Cheese|1:0:0:Cheese|2:0:0:Cheese|,-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|,
4005,-3:2:0:Cheese|-3:1:0:Cheese|-3:-1:0:Cheese|-1:-3:0:Cheese|0:-2:0:Cheese|1:-1:0:Cheese|1:1:0:Cheese|1:2:0:Cheese|-1:2:0:Lavender|-2:1:0:Lavender|0:2:0:Lavender|2:2:0:Lavender|1:0:0:Lavender|0:-1:0:Lavender|-1:-1:0:Lavender|2:-1:0:Lavender|1:-2:0:Lavender|2:-2:0:Blueberry|2:-3:0:Blueberry|-3:-3:0:Blueberry|-2:-2:0:Blueberry|-3:0:0:Blueberry|-2:0:0:Blueberry|0:0:0:Blueberry|0:1:0:Blueberry|2:1:0:Blueberry|2:0:0:Blueberry|-2:-3:0:Chocolate|-3:-2:0:Chocolate|-2:-1:0:Chocolate|-1:-2:0:Chocolate|0:-3:0:Chocolate|1:-3:0:Chocolate|-1:0:0:Chocolate|-1:1:0:Chocolate|-2:2:0:Chocolate|,-3:3:0|-2:3:0|-1:3:0|0:3:0|2:3:0|1:3:0|,
4006,-2:2:0:Chocolate|-3:2:0:Chocolate|-3:1:0:Chocolate|-3:-3:0:Chocolate|-3:-4:0:Chocolate|-2:-4:0:Chocolate|2:-4:0:Chocolate|3:-4:0:Chocolate|3:-3:0:Chocolate|2:2:0:Chocolate|3:2:0:Chocolate|3:1:0:Chocolate|-1:-1:0:Chocolate|1:-1:0:Chocolate|-3:-2:0:Blueberry|-2:-3:0:Blueberry|-1:-4:0:Blueberry|1:-4:0:Blueberry|2:-3:0:Blueberry|3:-2:0:Blueberry|3:0:0:Lavender|2:1:0:Lavender|1:2:0:Blueberry|-1:2:0:Blueberry|-2:1:0:Lavender|-3:0:0:Lavender|-3:-1:0:Lavender|-1:1:0:Lavender|0:0:0:Lavender|1:1:0:Lavender|0:1:0:Blueberry|0:2:0:Cheese|-2:-2:0:Lavender|-1:-3:0:Lavender|0:-4:0:Lavender|1:-3:0:Lavender|2:-2:0:Lavender|3:-1:0:Lavender|2:0:0:Cheese|1:0:0:Cheese|2:-1:0:Cheese|-1:0:0:Cheese|-2:0:0:Cheese|-2:-1:0:Cheese|0:-2:0:Cheese|0:-3:0:Cheese|-1:-2:0:Blueberry|1:-2:0:Blueberry|0:-1:0:Blueberry|,-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4007,-3:2:0:Chocolate|-3:1:0:Chocolate|-2:2:0:Chocolate|1:2:0:Chocolate|1:1:0:Chocolate|2:1:0:Chocolate|-3:-2:0:Chocolate|-2:-2:0:Chocolate|-2:-3:0:Chocolate|1:-3:0:Chocolate|1:-2:0:Chocolate|2:-2:0:Chocolate|-3:-3:0:Blueberry|-3:-4:0:Blueberry|-2:-4:0:Blueberry|0:-4:0:Blueberry|3:-4:0:Blueberry|3:-1:0:Blueberry|3:1:0:Blueberry|3:2:0:Blueberry|2:2:0:Blueberry|0:0:0:Blueberry|-1:0:0:Blueberry|-1:-1:0:Blueberry|1:-1:0:Cheese|0:-1:0:Cheese|0:-2:0:Cheese|-3:0:0:Cheese|-3:-1:0:Cheese|-2:-1:0:Cheese|-1:-4:0:Cheese|1:-4:0:Cheese|3:-2:0:Cheese|3:0:0:Cheese|-1:2:0:Cheese|0:2:0:Cheese|0:1:0:Cheese|-1:1:0:Lavender|-2:1:0:Lavender|-2:0:0:Lavender|-1:-2:0:Lavender|-1:-3:0:Lavender|0:-3:0:Lavender|2:-4:0:Lavender|2:-3:0:Lavender|3:-3:0:Lavender|1:0:0:Lavender|2:0:0:Lavender|2:-1:0:Lavender|,-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4008,-1:2:0:Chocolate|-2:1:0:Chocolate|-3:0:0:Chocolate|-3:-2:0:Chocolate|-2:-3:0:Chocolate|-1:-4:0:Chocolate|1:-4:0:Chocolate|2:-3:0:Chocolate|3:-2:0:Chocolate|3:0:0:Chocolate|2:1:0:Chocolate|1:2:0:Chocolate|0:2:0:Lavender|-1:1:0:Lavender|-2:0:0:Lavender|-3:-1:0:Lavender|-2:-2:0:Lavender|-1:-3:0:Lavender|0:-4:0:Lavender|1:-3:0:Lavender|2:-2:0:Lavender|3:-1:0:Lavender|2:0:0:Lavender|1:1:0:Lavender|-2:2:0:Blueberry|-3:1:0:Blueberry|2:2:0:Blueberry|3:1:0:Blueberry|3:-3:0:Blueberry|2:-4:0:Blueberry|-2:-4:0:Blueberry|-3:-3:0:Blueberry|-3:2:0:Cheese|-3:-4:0:Cheese|3:-4:0:Cheese|3:2:0:Cheese|0:1:0:Cheese|0:0:0:Cheese|-1:-1:0:Cheese|-2:-1:0:Cheese|1:-1:0:Cheese|2:-1:0:Cheese|0:-2:0:Cheese|0:-3:0:Cheese|-1:0:0:Blueberry|0:-1:0:Blueberry|1:0:0:Blueberry|-1:-2:0:Blueberry|1:-2:0:Blueberry|,-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4009,-3:2:0:Strawberry|-4:2:0:Strawberry|-4:1:0:Strawberry|-4:-4:0:Strawberry|-4:-5:0:Strawberry|-3:-5:0:Strawberry|2:-5:0:Strawberry|3:-5:0:Strawberry|3:-4:0:Strawberry|2:2:0:Strawberry|3:2:0:Strawberry|3:1:0:Strawberry|0:-1:0:Strawberry|-1:-2:0:Strawberry|-1:0:0:Lavender|0:0:0:Lavender|-2:-1:0:Lavender|-2:-2:0:Lavender|-1:-3:0:Lavender|0:-3:0:Lavender|1:-1:0:Lavender|1:-2:0:Lavender|-1:1:0:Chocolate|0:1:0:Chocolate|-2:0:0:Chocolate|-3:-1:0:Chocolate|-3:-2:0:Chocolate|-2:-3:0:Chocolate|-1:-4:0:Chocolate|0:-4:0:Chocolate|1:-3:0:Chocolate|2:-2:0:Chocolate|2:-1:0:Chocolate|1:0:0:Chocolate|-1:2:0:Blueberry|-2:1:0:Blueberry|-3:0:0:Blueberry|-4:-1:0:Blueberry|-4:-2:0:Blueberry|-3:-3:0:Blueberry|-2:-4:0:Blueberry|-1:-5:0:Blueberry|0:-5:0:Blueberry|1:-4:0:Blueberry|2:-3:0:Blueberry|3:-2:0:Blueberry|3:-1:0:Blueberry|2:0:0:Blueberry|1:1:0:Blueberry|0:2:0:Blueberry|-2:2:0:Cheese|-3:1:0:Cheese|-4:0:0:Cheese|-4:-3:0:Cheese|-3:-4:0:Cheese|-2:-5:0:Cheese|1:-5:0:Cheese|2:-4:0:Cheese|3:-3:0:Cheese|3:0:0:Cheese|2:1:0:Cheese|1:2:0:Cheese|-1:-1:0:Cheese|0:-2:0:Cheese|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
