번들 ID,레시피 ID,레시피 ID,레시피 ID,레시피 ID,레시피 ID,레시피 ID,레시피 ID,레시피 ID,레시피 ID,레시피 ID,레시피 ID,레시피 ID,레시피 ID,레시피 ID,레시피 ID,,
int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,,메모용(삭제예정)
bundle_id,recipe1_id,recipe2_id,recipe3_id,recipe4_id,recipe5_id,recipe6_id,recipe7_id,recipe8_id,recipe9_id,recipe10_id,recipe11_id,recipe12_id,recipe13_id,recipe14_id,recipe15_id,,
1501,2013,2004,2009,null,null,null,null,null,null,null,null,null,null,null,null,,특별1-1
1502,2013,2005,2010,null,null,null,null,null,null,null,null,null,null,null,null,,특별2-1
1503,2013,2006,2011,null,null,null,null,null,null,null,null,null,null,null,null,,특별3-1
1504,2001,2003,2004,null,null,null,null,null,null,null,null,null,null,null,null,,
1505,2001,2002,2003,2004,null,null,null,null,null,null,null,null,null,null,null,,
1506,2001,2002,2005,2006,null,null,null,null,null,null,null,null,null,null,null,,
1507,2002,2005,2006,2008,null,null,null,null,null,null,null,null,null,null,null,,
1508,2002,2004,2006,2011,null,null,null,null,null,null,null,null,null,null,null,,
1509,2001,2003,2005,2010,null,null,null,null,null,null,null,null,null,null,null,,
1510,2003,2005,2009,2010,null,null,null,null,null,null,null,null,null,null,null,,
1511,2001,2002,2003,2004,2005,null,null,null,null,null,null,null,null,null,null,,
1512,2002,2004,2006,2011,2012,null,null,null,null,null,null,null,null,null,null,,
1513,2001,2003,2005,2009,2010,null,null,null,null,null,null,null,null,null,null,,
1514,2003,2004,2007,2008,2011,null,null,null,null,null,null,null,null,null,null,,
1515,2001,2002,2003,2004,2005,2006,null,null,null,null,null,null,null,null,null,,
1516,2003,2004,2009,2010,2011,2012,null,null,null,null,null,null,null,null,null,,
1517,2001,2002,2003,2004,2005,2006,2007,null,null,null,null,null,null,null,null,,
1518,2001,2002,2004,2005,2010,2011,2012,null,null,null,null,null,null,null,null,,
1519,2001,2002,2003,2005,2006,2007,2008,2009,null,null,null,null,null,null,null,,
1520,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,null,null,,
