보상 묶음 ID,설명,첫 번째 보상 재화 ID,첫 번째 보상 재화 개수,두 번째 재화 보상 ID,두 번째 보상 재화 개수,세 번째 보상 재화 ID,세 번째 보상 재화 개수,네 번째 보상 재화 ID,네 번째 보상 재화 개수,다섯 번째 보상 재화 ID,다섯 번째 보상 재화 개수
string,string,int,int,int,int,int,int,int,int,int,int
reward_bundle_id,description,reward_1_id,reward_1_count,reward_2_id,reward_2_count,reward_3_id,reward_3_count,reward_4_id,reward_4_count,reward_5_id,reward_5_count
20001,주간 퀘스트 보상,10001,100G,,,,,,,,
20002,주간 퀘스트 보상,10002,15분,,,,,,,,
20003,주간 퀘스트 보상,10003,1개,,,,,,,,
20004,주간 퀘스트 보상,10004,1개,,,,,,,,
20005,주간 퀘스트 보상,10001,300G,,,,,,,,
20006,주간 퀘스트 보상,10002,20분,,,,,,,,
20007,주간 퀘스트 보상,10005,1개,,,,,,,,
20008,주간 퀘스트 보상,10006,1개,,,,,,,,
20009,주간 퀘스트 보상,10001,500G,,,,,,,,
20010,주간 퀘스트 보상,10002,30분,,,,,,,,
20011,주간 퀘스트 보상,10003,3개,10004,3개,,,,,,
20012,주간 퀘스트 보상,10005,3개,10006,3개,,,,,,
20013,주간 퀘스트 보상,10001,700G,,,,,,,,
20014,주간 퀘스트 보상,10002,45분,,,,,,,,
20015,주간 퀘스트 보상,10003,5개,10004,5개,,,,,,
20016,주간 퀘스트 보상,10005,5개,10006,5개,,,,,,
20017,주간 퀘스트 보상,10001,1000G,,,,,,,,
20018,주간 퀘스트 보상,10002,60분,,,,,,,,
20019,주간 퀘스트 보상,10003,3개,10004,3개,10005,3개,10006,5개,,
20020,주간 퀘스트 보상,10003,5개,10004,5개,10005,5개,10006,5개,,
20021,연속 퀘스트 보상,10007,1개,10008,1개,10009,1개,,,,
20022,업적 보상,10001,600G,10003,2개,10004,2개,10005,2개,10006,2개
20023,업적 보상,10001,700G,10003,3개,10004,3개,10005,3개,10006,3개
20024,업적 보상,10001,800G,10003,4개,10004,4개,10005,4개,10006,4개
20025,업적 보상,10001,900G,10003,5개,10004,5개,10005,5개,10006,5개
20026,업적 보상,10001,1000G,10003,6개,10004,6개,10005,6개,10006,6개
20027,업적 보상,10001,200G,10003,1개,10004,1개,10005,1개,10006,1개
20028,업적 보상,10001,350G,10003,2개,10004,2개,10005,2개,10006,2개
20029,업적 보상,10001,500G,10003,3개,10004,3개,10005,3개,10006,3개
20030,업적 보상,10001,650G,10003,4개,10004,4개,10005,4개,10006,4개
20031,업적 보상,10001,800G,10003,5개,10004,5개,10005,5개,10006,5개
20032,업적 보상,10001,600G,10003,3개,10004,3개,10005,3개,10006,3개
20033,업적 보상,10001,800G,10003,4개,10004,4개,10005,4개,10006,4개
20034,업적 보상,10001,1000G,10003,5개,10004,5개,10005,5개,10006,5개
20035,업적 보상,10001,1200G,10003,6개,10004,6개,10005,6개,10006,6개
20036,업적 보상,10001,1400G,10003,7개,10004,7개,10005,7개,10006,7개
20037,업적 보상,10001,1600G,10003,8개,10004,8개,10005,8개,10006,8개
20038,업적 보상,10001,1800G,10003,9개,10004,9개,10005,9개,10006,9개
20039,업적 보상,10001,2000G,10003,10개,10004,10개,10005,10개,10006,10개
