스테이지 ID,등장 손님 ID,주문 수,레벨 수치 ID,스테이지 레시피 묶음 ID,스테이지 배수,퍼즐 보드 ID,골드 최대 획득량
int,int,int,int,int,float,int,int
stage_id,customer_id,order_count,level_id,stage_recipe_bundle ,stage_Multiplier,puzzle_board_id,max_gold_gain
3001,1001,2,1,1505,1,4001,
3002,1002,2,1,1505,1,4002,
3003,1003,2,1,1505,1,4003,
3004,1004,3,1,1505,1,4004,
3005,1005,2,1,1510,1,4005,
3006,1006,3,1,1509,1,4006,
3007,1003,2,1,1505,1,4007,
3008,1007,3,1,1501,1,4008,
3009,1002,2,1,1505,2,4009,
3010,1004,4,3,1510,2,4010,
3011,1003,2,1,1505,2,4011,
3012,1008,3,1,1502,2,4012,
3013,1005,3,1,1509,2,4013,
3014,1001,4,3,1511,2.4,4014,
3015,1006,2,1,1510,2.4,4015,
3016,1002,3,1,1505,2.4,4016,
3017,1004,3,3,1505,2.4,4017,
3018,1007,3,1,1501,3,4018,
3019,1001,2,1,1505,3,4019,
3020,1008,4,1,1502,3,4020,
3021,1001,3,1,1505,3,4021,
3022,1007,3,1,1501,3,4022,
3023,1002,4,1,1511,3,4023,
3024,1005,4,1,1513,3,4024,
3025,1001,2,1,1505,3,4025,
3026,1008,4,1,1502,3,4026,
3027,1003,3,1,1505,3,4027,
3028,1006,2,1,1513,3,4028,
3029,1001,4,1,1511,3,4029,
3030,1007,5,1,1501,3.5,4030,
3031,1003,2,1,1505,3.5,4031,
3032,1008,5,1,1502,3.5,4032,
3033,1002,2,1,1505,3.5,4033,
3034,1004,4,1,1513,3.7,4034,
3035,1003,3,1,1505,3.7,4035,
3036,1008,5,3,1502,3.7,4036,
3037,1007,3,1,1501,3.7,4037,
3038,1006,3,1,1505,3.7,4038,
3039,1001,3,1,1511,3.7,4039,
3040,1008,4,3,1502,3.7,4040,
3041,1005,2,1,1510,3.7,4041,
3042,1008,4,1,1502,4,4042,
3043,1005,4,1,1510,4,4043,
3044,1007,3,1,1501,4,4044,
3045,1003,3,1,1505,4,4045,
3046,1007,5,1,1501,4,4046,
3047,1003,3,1,1511,4,4047,
3048,1002,2,1,1505,4,4048,
3049,1006,3,1,1513,4,4049,
3050,1007,4,3,1501,4,4050,
3051,1002,4,1,1505,4,4051,
3052,1009,4,1,1503,4.3,4052,
3053,1007,3,3,1501,4.3,4053,
3054,1005,3,1,1514,4.3,4054,
3055,1009,5,3,1503,4.3,4055,
3056,1001,3,1,1518,4.3,4056,
3057,1006,2,1,1506,4.3,4057,
3058,1002,3,1,1507,4.3,4058,
3059,1005,3,1,1513,4.3,4059,
3060,1009,3,1,1503,4.3,4060,
3061,1002,2,1,1509,4.3,4061,
3062,1006,3,1,1519,4.3,4062,
3063,1001,2,3,1514,4.3,4063,
3064,1002,4,1,1518,4.6,4064,
3065,1006,2,1,1519,4.6,4065,
3066,1008,3,3,1502,4.6,4066,
3067,1003,3,1,1506,4.6,4067,
3068,1009,4,1,1503,4.6,4068,
3069,1006,3,1,1508,4.6,4069,
3070,1003,2,1,1518,4.6,4070,
3071,1008,5,1,1502,4.6,4071,
3072,1003,2,1,1507,4.9,4072,
3073,1006,4,1,1514,4.9,4073,
3074,1005,2,1,1520,4.9,4074,
3075,1007,4,3,1501,4.9,4075,
3076,1003,2,3,1509,4.9,4196,
3077,1004,2,3,1519,4.9,4197,
3078,1001,2,3,1514,4.9,4198,
3079,1005,2,1,1518,5,4076,
3080,1002,2,1,1519,5,4077,
3081,1008,3,1,1502,5,4078,
3082,1004,2,1,1520,5,4079,
